da_id,population_2016,population_0_to_14,percent_children
35201452,1045,50,0.0478
35203029,267,45,0.1685
35060679,3193,820,0.2568
35070251,489,55,0.1125
35191041,348,55,0.158
35202000,550,60,0.1091
35340124,426,90,0.2113
35204871,2011,60,0.0298
35390066,408,55,0.1348
35204506,883,50,0.0566
35570176,532,65,0.1222
35260744,1186,165,0.1391
35212126,687,120,0.1747
35300896,843,140,0.1661
35203680,460,65,0.1413
35430569,582,70,0.1203
35204784,0,NULL,NULL
35204794,903,105,0.1163
35210105,459,75,0.1634
35204841,1612,35,0.0217
35370102,428,50,0.1168
35250047,575,70,0.1217
35250667,240,20,0.0833
35370617,988,160,0.1619
35180735,391,55,0.1407
35060625,429,90,0.2098
35060249,758,30,0.0396
35203696,504,70,0.1389
35140153,827,140,0.1693
35390607,425,40,0.0941
35320153,300,45,0.15
35250677,472,115,0.2436
35250986,1447,195,0.1348
35580329,419,75,0.179
35180806,1390,165,0.1187
35190754,257,25,0.0973
35061229,563,95,0.1687
35290020,505,80,0.1584
35430851,581,75,0.1291
35430904,520,110,0.2115
35400182,506,55,0.1087
35210265,382,45,0.1178
35480212,687,150,0.2183
35203971,1849,405,0.219
35200068,499,50,0.1002
35211583,465,65,0.1398
35240664,632,90,0.1424
35200453,670,115,0.1716
35100105,398,75,0.1884
35180889,3909,1095,0.2801
35540115,498,40,0.0803
35260390,416,65,0.1563
35290236,1074,255,0.2374
35201977,1441,335,0.2325
35191031,4979,1140,0.229
35300759,442,80,0.181
35150306,895,135,0.1508
35202024,872,115,0.1319
35204237,479,95,0.1983
35200233,385,45,0.1169
35202174,296,45,0.152
35590063,235,75,0.3191
35250572,540,65,0.1204
35210592,617,100,0.1621
35210132,534,80,0.1498
35560278,0,NULL,NULL
35220118,429,80,0.1865
35300329,364,65,0.1786
35370745,806,140,0.1737
35201783,388,55,0.1418
35203494,583,80,0.1372
35200876,436,55,0.1261
35200043,572,80,0.1399
35201578,394,50,0.1269
35300297,348,15,0.0431
35300582,1157,175,0.1513
35370630,705,130,0.1844
35212152,6183,1470,0.2377
35431268,1572,300,0.1908
35061319,690,60,0.087
35200373,322,25,0.0776
35060706,535,90,0.1682
35140159,413,55,0.1332
35202504,619,60,0.0969
35240237,517,85,0.1644
35250345,399,65,0.1629
35300958,596,95,0.1594
35240711,679,155,0.2283
35390103,450,60,0.1333
35300657,549,75,0.1366
35250116,711,155,0.218
35280349,460,65,0.1413
35210414,518,65,0.1255
35360298,471,80,0.1699
35203803,521,90,0.1727
35201284,382,75,0.1963
35060678,3053,760,0.2489
35120101,600,40,0.0667
35240241,557,110,0.1975
35260112,498,55,0.1104
35240510,546,90,0.1648
35600403,0,NULL,NULL
35300448,803,110,0.137
35110135,420,45,0.1071
35191264,505,120,0.2376
35203032,409,65,0.1589
35010282,450,110,0.2444
35203251,529,75,0.1418
35180236,662,95,0.1435
35202513,446,50,0.1121
35300450,499,80,0.1603
35202945,468,100,0.2137
35060903,381,65,0.1706
35420295,593,85,0.1433
35280255,519,95,0.183
35320202,726,115,0.1584
35260113,1100,235,0.2136
35260736,1202,130,0.1082
35530079,599,70,0.1169
35260287,507,35,0.069
35590124,5,NULL,NULL
35240161,605,110,0.1818
35204708,262,40,0.1527
35430835,387,55,0.1421
35204015,1549,205,0.1323
35060968,620,70,0.1129
35200606,420,40,0.0952
35020174,491,80,0.1629
35100132,781,130,0.1665
35200905,511,25,0.0489
35200202,564,65,0.1152
35060045,553,65,0.1175
35180240,472,70,0.1483
35250633,248,25,0.1008
35204569,620,95,0.1532
35260490,573,60,0.1047
35204731,627,150,0.2392
35201781,404,45,0.1114
35203762,541,70,0.1294
35201056,490,30,0.0612
35203751,438,55,0.1256
35060419,267,60,0.2247
35204207,424,70,0.1651
35204473,461,65,0.141
35390235,470,105,0.2234
35061133,794,105,0.1322
35250831,1349,60,0.0445
35390158,332,45,0.1355
35250540,582,70,0.1203
35210099,832,240,0.2885
35570076,359,50,0.1393
35560308,537,80,0.149
35390709,1053,140,0.133
35190337,1282,60,0.0468
35201175,516,80,0.155
35203877,509,110,0.2161
35204116,883,70,0.0793
35191333,1037,230,0.2218
35181002,649,95,0.1464
35070181,413,80,0.1937
35181203,595,150,0.2521
35010342,482,75,0.1556
35061256,752,60,0.0798
35180019,717,110,0.1534
35420245,491,55,0.112
35430742,477,60,0.1258
35570310,458,75,0.1638
